County,Municipality,Neighborhood,Population,White,WhiteRate,Black,BlackRate,Hispanic,HispanicRate,Over5,OtherThanEnglish,OtherThanEnglishRate,EnglishNotWell,EnglishNotWellRate,DI,Families,Poverty,PovertyRate,TractHH,Assistance,AssistanceRate,MedianIncome,Uninsured,UninsuredRate,Over25,HSGraduates,GraduationRate,VacantHousing,VacancyRate,AgeUnder5,AgeUnder5Rate,Age5to9,Age5to9Rate,Age10to14,Age10to14Rate,Age15to19,Age15to19Rate,Age20to24,Age20to24Rate,Age25to29,Age25to29Rate,Age30to34,Age30to34Rate,Age35to39,Age35to39Rate,Age40to44,Age40to44Rate,Age45to49,Age45to49Rate,Age50to54,Age50to54Rate,Age55to59,Age55to59Rate,Age60to64,Age60to64Rate,Age65to69,Age65to69Rate,Age70to74,Age70to74Rate,Age75to79,Age75to79Rate,Age80to84,Age80to84Rate,Age85andover,Age85andoverRate,Households,TwoParentHH,TwoParentRate,SingleParentHH,SingleParentRate,CoupleNoKids,CoupleNoKidsRate,SingleAdult,SingleRate,Over1,SameHomeLastYear,SameHomeRate,SameMetroLastYear,SameMetroRate,USLastYear,USLastYearRate,AbroadLastYear,AbroadRate,ShootingsTotal,ShootingsYouth,ShootingRateTotal,ShootingRateYouth,Children,HospitalAdmissions,HospitalAdmissionRate,HospitalPatients,HospitalPatientRate,AsthmaAdmissions,AsthmaAdmissionRate,AsthmaPatients,AsthmaPatientRate,DiabetesAdmissions,DiabetesAdmissionRate,DiabetesPatients,DiabetesPatientRate,MHAdmissions,MHAdmissionRate,MHPatients,MHPatientRate,AsthmaRegistry,AsthmaRegistryRate,DiabetesRegistry,DiabetesRegistryRate,GenPedsRegistry,GenPedsRegistryRate
Hamilton,Cincinnati,Hartwell,4720,2073,0.439,2165,0.459,337,0.071,4372,770,0.176,130,0.03,0.369,898,160,0.178,2180,228,0.105,63305,578,0.123,3434,3043,0.886,556,0.201,347,0.074,184.0489,0.039,155,0.033,252,0.053,348,0.074,526,0.111,311,0.066,432,0.092,234,0.05,255,0.054,328,0.069,264,0.056,260,0.055,206,0.044,137,0.029,101,0.021,48,0.01,330,0.07,2204,281,0.127,145,0.066,421,0.191,1358,0.616,4656,3288,0.706,1228,0.264,140,0.03,0,0,4,0,0.08,0,871,64.5,7.4,42.5,4.9,5,0.6,4.5,0.5,0.5,0.1,0.5,0.1,14,1.6,6.5,0.7,105,12.1,2,0.2,138,15.8
Hamilton,Cincinnati,Hyde Park,13530,11882,0.878,543,0.04,618,0.046,12717,775,0.061,25,0.002,0.16,3177,61,0.019,6696,111,0.017,127713,424,0.031,9907,9809,0.99,546,0.077,813,0.06,604,0.045,693,0.051,455,0.034,1058,0.078,2170,0.16,1199,0.089,967,0.071,839,0.062,856,0.063,546,0.04,1090,0.081,490,0.036,533,0.039,285,0.021,410,0.03,224,0.017,298,0.022,6580,1239,0.188,162,0.025,1855,0.282,3324,0.505,13354,11332,0.849,1417,0.106,548,0.041,57,0.004,1.5,0.5,0.01,0.02,2465,90.5,3.7,68,2.8,2.5,0.1,2,0.1,1,0,1,0,6,0.2,4.5,0.2,110,4.5,3,0.1,28,1.1
Hamilton,Cincinnati,Kennedy Heights,4289,1217,0.284,2894,0.675,208,0.049,3979,200,0.05,48,0.012,0.307,807,19,0.024,2332,242,0.104,59789,301,0.07,3354,3129,0.933,116,0.049,310,0.072,98.4901,0.023,184,0.043,103,0.024,240,0.056,336,0.078,291,0.068,231,0.054,426,0.099,301,0.07,179,0.042,336,0.078,487,0.113,272,0.064,182,0.042,101,0.024,129,0.03,82,0.019,2232,286,0.128,57,0.026,465,0.209,1423,0.637,4225,3830,0.906,369,0.087,26,0.006,0,0,0.5,0.5,0.01,0.08,655,44,6.7,29.5,4.5,3,0.5,3,0.5,0,0,0,0,1.5,0.2,1.5,0.2,117,17.9,3,0.5,128,19.5
Hamilton,Cincinnati,Linwood,453,424,0.936,0,0,13,0.029,424,26,0.061,3,0.007,0.191,78,8,0.103,206,10,0.048,80086,13,0.029,337,294,0.872,14,0.064,29,0.064,24,0.053,6,0.013,32,0.071,25,0.055,115,0.254,4,0.009,56,0.124,8,0.018,11,0.024,11,0.024,32,0.071,16,0.035,27,0.06,13,0.029,3,0.007,15,0.033,26,0.057,206,19,0.092,0,0,71,0.345,116,0.563,453,385,0.85,55,0.121,13,0.029,0,0,0.5,0,0.11,0,72,11.5,16,7,9.7,2,2.8,2,2.8,0,0,0,0,1.5,2.1,1,1.4,13,18.1,1,1.4,19,26.4
Hamilton,Cincinnati,Lower Price Hill-Queensgate,1158,583,0.503,441,0.381,9,0.008,962,26,0.027,0,0,0.827,215,168,0.781,362,180,0.497,13714,114,0.098,662,399,0.603,133,0.259,196,0.169,46,0.04,75,0.065,95,0.082,84,0.073,107,0.092,85,0.073,83,0.072,40,0.035,35,0.03,38,0.033,40,0.035,162,0.14,57,0.049,15,0.013,0,0,0,0,0,0,380,67,0.176,116,0.305,69,0.182,128,0.337,1134,812,0.716,245,0.216,77,0.068,0,0,5,0,0.43,0,380,20.5,5.4,16,4.2,1.5,0.4,1.5,0.4,0,0,0,0,7,1.8,5,1.3,63,16.6,1,0.3,103,27.1
Hamilton,Cincinnati,Madisonville,10024,5918,0.59,3258,0.325,227,0.023,9457,353,0.037,4,0,0.302,2288,221,0.097,4724,401,0.085,59897,462,0.046,7422,6882,0.927,470,0.088,567,0.057,325.7013,0.032,430,0.043,502,0.05,777,0.078,1480,0.148,975,0.097,675,0.067,381,0.038,532,0.053,533,0.053,550,0.055,478,0.048,709,0.071,291,0.029,221,0.022,276,0.028,323,0.032,4867,440,0.09,412,0.085,1306,0.268,2709,0.557,9882,7986,0.808,1379,0.14,492,0.05,25,0.002,5,1.5,0.05,0.09,1653,86,5.2,64.5,3.9,6,0.4,6,0.4,0,0,0,0,11,0.7,15,0.9,206,12.5,2,0.1,216,13.1
Hamilton,Cincinnati,Millvale,2263,227,0.1,1962,0.867,3,0.001,1882,157,0.083,39,0.021,0.665,642,461,0.718,828,506,0.612,11760,101,0.045,919,780,0.849,174,0.174,381,0.168,277,0.122,383,0.169,77,0.034,226,0.1,125,0.055,102,0.045,111,0.049,127,0.056,94,0.042,60,0.027,126,0.056,95,0.042,63,0.028,0,0,0,0,16,0.007,0,0,828,4,0.005,513,0.62,164,0.198,147,0.178,2051,1700,0.829,334,0.163,0,0,17,0.008,4.5,0,0.2,0,1077,55,5.1,39.5,3.7,7.5,0.7,6,0.6,0,0,0,0,10,0.9,7,0.7,161,14.9,3,0.3,362,33.6
Hamilton,Cincinnati,Mt. Adams,1643,1423,0.866,33,0.02,71,0.043,1625,109,0.067,0,0,0.162,368,0,0,940,0,0,102341,13,0.008,1350,1338,0.991,79,0.075,18,0.011,35,0.021,45,0.027,21,0.013,174,0.106,345,0.21,248,0.151,98,0.06,90,0.055,104,0.063,62,0.038,134,0.082,31,0.019,87,0.053,50,0.03,50,0.03,24,0.015,27,0.016,977,73,0.075,0,0,356,0.364,548,0.561,1625,1179,0.726,300,0.185,139,0.086,7,0.004,0.5,0.5,0.03,0.44,114,2,1.8,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,Cincinnati,Mt. Airy,8035,2192,0.273,5013,0.624,448,0.056,7426,846,0.114,230,0.031,0.224,1962,503,0.256,3466,914,0.264,28728,442,0.055,4979,4395,0.883,751,0.179,608,0.076,660.9947,0.082,621,0.077,609,0.076,556,0.069,299,0.037,610,0.076,585,0.073,600,0.075,348,0.043,610,0.076,382,0.048,639,0.08,414,0.052,197,0.024,111,0.014,98,0.012,87,0.011,3439,299,0.087,569,0.165,861,0.25,1711,0.498,7841,6743,0.86,897,0.114,201,0.026,0,0,8.5,2.5,0.11,0.11,2261,181,8,125,5.5,19,0.8,17.5,0.8,3.5,0.2,3,0.1,27.5,1.2,17,0.8,366,16.2,8,0.4,629,27.8
Hamilton,Cincinnati,Mt. Auburn,4705,1914,0.407,1997,0.424,164,0.035,4631,651,0.141,175,0.038,0.401,724,147,0.203,2573,416,0.162,42713,335,0.071,3374,2953,0.875,710,0.216,74,0.016,281,0.06,135,0.029,164,0.035,677,0.144,781,0.166,407,0.087,288,0.061,370,0.079,333,0.071,251,0.053,198,0.042,201,0.043,123,0.026,301,0.064,94,0.02,27,0.006,0,0,2583,180,0.07,107,0.041,481,0.186,1815,0.703,4688,2942,0.628,812,0.173,723,0.154,211,0.045,7,1,0.15,0.17,603,42,7,33,5.5,8.5,1.4,7,1.2,1.5,0.2,1,0.2,11,1.8,6.5,1.1,105,17.4,4,0.7,159,26.4
